Titles	Genres
Santa Clause, The (1994)[0.00023956872328668384, 0.00024795861079808193, 0.99788857085134419, 0.00028976225593812301, 0.00024786005955951398, 0.00025789297717836596, 0.00018469217447140252, 0.00022785696486406405, 0.00022972010411405068, 0.00018611727844538277]	fantasy
Shawshank Redemption, The (1994)[0.00067023683934580938, 0.00069370906731847939, 0.00063766549092176042, 0.00081066232652291209, 0.99414866287848014, 0.00072150225430998177, 0.00051670976733254686, 0.00063747107660070844, 0.00064268354567864345, 0.00052069675348898547]	comedy
Tommy Boy (1995)[0.0013974368687129331, 0.0014463762209452845, 0.0013295259445746995, 0.0016902225551576025, 0.0014458013581988335, 0.0015043247279818194, 0.0010773345135718937, 0.98768334193566698, 0.0013399885367732019, 0.0010856473384167553]	comedy
Muriel's Wedding (1994)[0.00059935234830398563, 0.99476774896834763, 0.00057022575749403239, 0.00072492638506341169, 0.00062009558973184201, 0.0006451959144015433, 0.00046206235506935766, 0.0005700519045020359, 0.00057471310096114344, 0.0004656276761248958]	comedy
Ace Ventura: Pet Detective (1994)[0.00076013709833344634, 0.0007867577049834474, 0.00072319688731187551, 0.00091939814769427368, 0.00078644500785215738, 0.99339564472225517, 0.00058601712135680089, 0.00072297639579424532, 0.00072888802417313541, 0.00059053889024525679]	comedy
Clear and Present Danger (1994)[0.0018548123719246948, 0.0019197693785894373, 0.9836526869883494, 0.002243425643620906, 0.0019190063655631182, 0.0019966842004267632, 0.0014299417950200859, 0.0017641364517910214, 0.0017785614304947671, 0.0014409753742200488]	action
Crow, The (1994)[0.00040319763800603618, 0.99648014850798983, 0.00038360353338465111, 0.00048767408188804464, 0.00041715207728030803, 0.00043403762323443429, 0.0003108396099600847, 0.00038348657861517096, 0.0003866222690115004, 0.000313238080629957]	romance
Flintstones, The (1994)[0.001397436868712932, 0.0014463762209452858, 0.0013295259445746991, 0.98804444389809565, 0.0014458013581988304, 0.0015043247279818291, 0.0010773345135718932, 0.0013291205927287617, 0.001339988536773201, 0.0010856473384167548]	comedy
Forrest Gump (1994)[0.00031738850893031856, 0.99722924860812834, 0.00030196445118940268, 0.00038388654868919098, 0.00032837314340417804, 0.00034166508201612827, 0.00024468625562790668, 0.00030187238691025374, 0.00030434073494988985, 0.00024657428015450983]	comedy
Four Weddings and a Funeral (1994)[0.00074027809083574965, 0.29482388091430378, 0.43698306825442579, 0.26333022171698062, 0.00076589869148144902, 0.00079690085653248807, 0.00057070709579388795, 0.00070408823246658533, 0.00070984541624257737, 0.00057511073093718707]	romance
It Could Happen to You (1994)[0.00041500833447301663, 0.00042954225690977274, 0.99634234101046149, 0.00050195931080098213, 0.00042937153518609618, 0.00044675170223704586, 0.00031994490209748098, 0.00039471988742517146, 0.00039794743026306915, 0.00032241363014586097]	comedy
Lion King, The (1994)[0.00057502635022193139, 0.00059516423102818001, 0.00054708192445093208, 0.00069550369588445714, 0.00059492768279163831, 0.00061900925705265337, 0.00044330856525771645, 0.00054691512765478066, 0.99493633398553183, 0.00044672918012597705]	animation
Mask, The (1994)[0.0023080645558182875, 0.97985096214694178, 0.0021959000634783391, 0.0027916415104959217, 0.0023879453478897359, 0.0024846049670162224, 0.0017793702608012614, 0.0021952305675968496, 0.0022131805136768397, 0.001793100066284941]	comedy
Maverick (1994)[0.00185481237192469, 0.0019197693785894395, 0.0017646744736764166, 0.002243425643620242, 0.0019190063655631236, 0.0019966842004267363, 0.0014299417950200857, 0.0017641364517910212, 0.98366657394516821, 0.0014409753742200486]	comedy
Naked Gun 33 1/3: The Final Insult (1994)[0.0016400938999559932, 0.0016975312947042933, 0.0015603906268327685, 0.98596842900575921, 0.0016968566102839135, 0.0017655422331803595, 0.0012644075760994467, 0.0015599148879248132, 0.0015726699891615258, 0.0012741638760974689]	comedy
Richie Rich (1994)[0.00047008877448147197, 0.00048655165780013825, 0.00044724397639664008, 0.00056857999623732239, 0.0004863582776696839, 0.99591569299069593, 0.00036240840107363697, 0.00044710761864284336, 0.00045076352511802401, 0.00036520478188431304]	comedy
Speed (1994)[0.0018548123719246937, 0.98380778189326146, 0.0017646744736764179, 0.0022434256436217681, 0.0019190063655631282, 0.0019966842004267467, 0.0014299417950200859, 0.0017641364517910214, 0.0017785614304947667, 0.001440975374220049]	action
True Lies (1994)[0.00040901774330820775, 0.00042334187047073199, 0.00038914080034292117, 0.99650071163407949, 0.00042317361309286358, 0.00044030289969990973, 0.00031532653917673402, 0.00038902215734660194, 0.00039220311102471024, 0.00031775963145781375]	action
Bad Company (1995)[0.001217329199508105, 0.0012599610377050769, 0.0011581709271238998, 0.00147237940841945, 0.0012594602657398965, 0.0013104408921177071, 0.00093848301155587696, 0.0011578178187658897, 0.0011672850554762689, 0.9890586723835878]	action
Street Fighter (1994)[0.00029128659243766926, 0.99745711420318761, 0.00027713100364192065, 0.00035231585739288316, 0.00030136785453454683, 0.00031356666890943607, 0.00022456334622320302, 0.00027704651069588139, 0.00027931186268306899, 0.00022629610029374728]	action
Airheads (1994)[0.99054843540316584, 0.0011161117578048815, 0.0010259429860348898, 0.0013042784026729042, 0.0011156681587874558, 0.0011608283461406858, 0.0008313367575282347, 0.0010256301919258973, 0.001034016557765925, 0.00083775143817326012]	comedy
Air Up There, The (1994)[0.0012173291995081037, 0.001259961037705083, 0.0011581709271239003, 0.0014723794084195276, 0.0012594602657398939, 0.98942338883189551, 0.00093848301155587718, 0.0011578178187658902, 0.0011672850554762691, 0.00094572444380989151]	comedy
Beverly Hills Cop III (1994)[0.00015894055312502993, 0.99861247415579013, 0.00015121655493418221, 0.00019224117656806226, 0.00016444139461748179, 0.00017109767868462317, 0.00012253300833941087, 0.00015117045135122547, 0.00015240654084938359, 0.00012347848574054075]	comedy
Blown Away (1994)[0.00057502635022193128, 0.99498011107706852, 0.00054708192445093197, 0.00069550369589837016, 0.00059492768279163777, 0.00061900925705265673, 0.0004433085652577164, 0.00054691512765478055, 0.0005513871394774299, 0.000446729180125977]	action
Carlito's Way (1993)[0.00051261020294718991, 0.00053056222056000412, 0.00048769900059935669, 0.00062001035355222303, 0.0005303513484156353, 0.00055181899188008374, 0.00039518970481488495, 0.00048755030873594355, 0.99548596883892948, 0.0003982390295652142]	romance
Dave (1993)[0.00033621865664128784, 0.99706486440230047, 0.00031987951446160989, 0.00040666191771712056, 0.00034785499174032499, 0.00036193551960608458, 0.00025920309605116524, 0.00031978198815744584, 0.00032239677930034704, 0.00026120313402412063]	comedy
Demolition Man (1993)[0.0016400938999559928, 0.98568224013081296, 0.0015603906268327689, 0.0019837201696507449, 0.0016968566102839142, 0.0017655422331803051, 0.0012644075760994472, 0.0015599148879248145, 0.0015726699891615273, 0.0012741638760974693]	action
Fugitive, The (1993)[0.99651560923594185, 0.00041146303987122708, 0.00037822164027614583, 0.00048083209647160441, 0.00041129950373880648, 0.00042794814832083461, 0.00030647858246919045, 0.00037810632636242728, 0.00038119802354945147, 0.00030884340299862931]	action
Hard Target (1993)[0.00058693740575298508, 0.00060749242121154476, 0.00055841414110440553, 0.00070991031071263673, 0.00060725097313121563, 0.99490046839985891, 0.00045249122781942111, 0.00055824388929110477, 0.00056280853405333078, 0.00045598269706440805]	action
Hot Shots! Part Deux (1993)[0.0014699304751764816, 0.98716773986627115, 0.0013984965956051426, 0.0017779047478137366, 0.001520803926853178, 0.0015823632621477022, 0.0011332224509843438, 0.0013980702156771107, 0.00140950194652027, 0.0011419665129508215]	comedy
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)[0.00044083470023411665, 0.00045627308257110689, 0.0004194115557934852, 0.00053319671901707146, 0.99615140157253756, 0.00047455348814820085, 0.00033985537949900348, 0.00041928368371318313, 0.00042271207963020532, 0.000342477738856073]	comedy
Hudsucker Proxy, The (1994)[0.00038148435857627986, 0.0003948442446745277, 0.00036294544929513521, 0.00046141151828838417, 0.00039468731368822688, 0.99668552127969545, 0.00029410005924674742, 0.00036283479285518632, 0.00036580161787294499, 0.00029636936580713588]	comedy
Jurassic Park (1993)[0.00052205459226479351, 0.00054033735991417919, 0.00049668442306068127, 0.00063143349558377729, 0.00054012260263718004, 0.99546419453904555, 0.00040247072537421354, 0.00049653299168128065, 0.00050059303920392973, 0.00040557623123434579]	sci-fi
Last Action Hero (1993)[0.00041500833447301674, 0.00042954225690977529, 0.0003948402681008386, 0.00050195931079906201, 0.00042937153518609602, 0.00044675170223704012, 0.9962674456444599, 0.0003947198874251713, 0.00039794743026306921, 0.00032241363014586091]	fantasy
Much Ado About Nothing (1993)[0.00058693740575298562, 0.00060749242121135264, 0.99482705116952963, 0.00070991031071214591, 0.00060725097313127873, 0.00063183137143426032, 0.00045249122781942111, 0.00055824388929110456, 0.00056280853405333068, 0.00045598269706440805]	comedy
Mrs. Doubtfire (1993)[0.0017408572477221765, 0.0018018234551695346, 0.0016562572009276209, 0.0021055950728698309, 0.98480187593566793, 0.0018740128189453293, 0.0013420896772962908, 0.001655752233787655, 0.0016692909771693341, 0.0013524453804441194]	comedy
Next Karate Kid, The (1994)[0.00052205459226479253, 0.37077545830083808, 0.00049668442306068116, 0.00063143349558399868, 0.00054012260263717462, 0.62522907359812152, 0.00040247072537421337, 0.00049653299168128055, 0.00050059303920392962, 0.00040557623123434563]	romance
Ref, The (1994)[0.97583309269126506, 0.0028538099825395204, 0.0026232555248957724, 0.00333493729416197, 0.0028526757347410183, 0.0029681467819553473, 0.0021256627043802555, 0.0026224557349603314, 0.0026438990128257729, 0.0021420645382750803]	comedy
Remains of the Day, The (1993)[0.00093588152318013415, 0.00096865683957266674, 0.00089040070000592211, 0.0011319638796202017, 0.00096827184656524394, 0.0010074657033185309, 0.00072150484083393382, 0.99175137498672727, 0.00089740763315787598, 0.00072707204701828482]	romance
Robin Hood: Men in Tights (1993)[0.00056358911487423304, 0.00058332645458859052, 0.0005362005018482945, 0.00068167017425160565, 0.99507972448609849, 0.00060669720465264727, 0.00043449118777484782, 0.00053603702262917637, 0.00054042008643809779, 0.00043784376684393675]	comedy
Sleepless in Seattle (1993)[0.0023080645558182936, 0.0023888948149885956, 0.0021959000634783387, 0.980253708842449, 0.0023879453478897446, 0.0024846049670162566, 0.0017793702608012614, 0.0021952305675968509, 0.0022131805136768406, 0.001793100066284941]	comedy
Blade Runner (1982)[0.00029431210763438282, 0.00030461915206997982, 0.00028000948855941158, 0.00035597526708845044, 0.00030449808107901297, 0.99744290638409716, 0.00022689582507482944, 0.0002799241180079525, 0.00028221299959465157, 0.00022864657679411106]	sci-fi
So I Married an Axe Murderer (1993)[0.00096784830233185139, 0.0010017431207925403, 0.00092081399680539781, 0.0011706282174152073, 0.0010013449776308128, 0.99159097213176939, 0.00074614918451694587, 0.00092053325489517546, 0.00092806026482939558, 0.00075190654901319785]	comedy
Super Mario Bros. (1993)[0.0012719750706728184, 0.0013165206508046529, 0.0012101611852199886, 0.0015384744757935749, 0.0013159973992010081, 0.0013692665443640856, 0.98855995001592778, 0.0012097922258384036, 0.001219684446520062, 0.00098817798565760113]	comedy
Threesome (1994)[0.99594697690715317, 0.00047861141742570114, 0.0004399452145454036, 0.00055930110103704017, 0.00047842119314662449, 0.00049778679979773873, 0.00035649410652318779, 0.00043981108207092641, 0.00044340732627647144, 0.00035924485202369844]	comedy
Nightmare Before Christmas, The (1993)[0.0019847312964619362, 0.0020542381673473243, 0.001888279757557756, 0.0024005646897635631, 0.0020534217096528215, 0.0021365404294913983, 0.0015301009825324553, 0.0018877040503378288, 0.98252251151644343, 0.0015419074004114962]	animation
True Romance (1993)[0.00022089278762215983, 0.00022862862899078234, 0.00021015811067270513, 0.99811018574502397, 0.00022853776046039847, 0.0002377885470839914, 0.00017029422168003892, 0.00021009403672330425, 0.00021181193218566523, 0.00017160822955696536]	romance
Welcome to the Dollhouse (1995)[0.0003920405794554718, 0.000405770152818621, 0.00037298867189056672, 0.99664595714708615, 0.00040560887932477739, 0.00042202717793639717, 0.00030223823088130293, 0.00037287495342777058, 0.00037592387476086516, 0.00030457033241809218]	comedy
Brady Bunch Movie, The (1995)[0.00059935234830398596, 0.00062034214493927214, 0.99471763258090251, 0.00072492638506334685, 0.00062009558973184179, 0.00064519591440154037, 0.00046206235506935766, 0.00057005190450203579, 0.00057471310096114355, 0.0004656276761248958]	comedy
Home Alone (1990)[0.0014699304751764884, 0.0015214086112499776, 0.0013984965956051428, 0.0017779047478149472, 0.0015208039268531615, 0.0015823632621476884, 0.0011332224509843438, 0.98704440147069727, 0.0014095019465202707, 0.0011419665129508215]	comedy
Ghost (1990)[0.00041500833447301728, 0.00042954225690977453, 0.00039484026810083887, 0.00050195931083969259, 0.00042937153518609721, 0.0004467517022370483, 0.00031994490209748109, 0.00039471988742517173, 0.99634544817258508, 0.00032241363014586113]	romance
